D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0000.jpg,dataset_2\polarbear_0000.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0001.jpg,dataset_2\polarbear_0001.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0002.jpg,dataset_2\polarbear_0002.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0003.jpg,dataset_2\polarbear_0003.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0004.jpg,dataset_2\polarbear_0004.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0005.jpg,dataset_2\polarbear_0005.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0006.jpg,dataset_2\polarbear_0006.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0007.jpg,dataset_2\polarbear_0007.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0008.jpg,dataset_2\polarbear_0008.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0009.jpg,dataset_2\polarbear_0009.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0010.jpg,dataset_2\polarbear_0010.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0011.jpg,dataset_2\polarbear_0011.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0012.jpg,dataset_2\polarbear_0012.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0013.jpg,dataset_2\polarbear_0013.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0014.jpg,dataset_2\polarbear_0014.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0015.jpg,dataset_2\polarbear_0015.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0016.jpg,dataset_2\polarbear_0016.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0017.jpg,dataset_2\polarbear_0017.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0018.jpg,dataset_2\polarbear_0018.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0019.jpg,dataset_2\polarbear_0019.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0020.jpg,dataset_2\polarbear_0020.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0021.jpg,dataset_2\polarbear_0021.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0022.jpg,dataset_2\polarbear_0022.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0023.jpg,dataset_2\polarbear_0023.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0024.jpg,dataset_2\polarbear_0024.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0025.jpg,dataset_2\polarbear_0025.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0026.jpg,dataset_2\polarbear_0026.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0027.jpg,dataset_2\polarbear_0027.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0028.jpg,dataset_2\polarbear_0028.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0029.jpg,dataset_2\polarbear_0029.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0030.jpg,dataset_2\polarbear_0030.jpg,polarbear
D:\2 Curs(yes)\repositori on git\Programming-1\dataset_2\polarbear_0031.jpg,dataset_2\polarbear_0031.jpg,polarbear
